"id","composition","proportion","name","location","mass","year"
"873","TFMPP "," 1.5","Chanel","Minneapolis, MN","428",2002
"873","BZP "," 1","Chanel","Minneapolis, MN","428",2002
"872","BZP "," 10","Smiley","Hagerstown, MD","379",2002
"872","TFMPP "," 1","Smiley","Hagerstown, MD","379",2002
"871","Pseudo/Ephedrine "," 1","E / Butterfly","Los Angeles, CA","828",2002
"870","MDMA "," 1","Cross","Cape Coral, FL","251",2002
"869","MDA "," 1","Dove (White)","Kuna, ID","223",2002
"868","Caffeine "," 20","VL (Blue)","El Cerrito, CA","305",2002
"868","MDA "," 1","VL (Blue)","El Cerrito, CA","305",2002
"867","MDMA "," 1","Rolex","Dover, NH","295",2002
"866","MDMA "," 1","Crocodile","San Leandro, CA","282",2002
"865","None Detected "," ---","Plain Tablet","Penngrove, CA","334",2002
"864","Other Pharm. "," 1","G4 / 63 / 832","Gainesville, FL","-",2002
"863","MDMA "," 1","Mitsubishi","Hollywood, CA","287",2002
"862","MDMA "," 10","Leon","Boston, MA","196",2002
"862","MDA "," 1","Leon","Boston, MA","196",2002
"861","Caffeine "," 12","Mercedes","Los Angeles, CA","286",2002
"861","MDA "," 1","Mercedes","Los Angeles, CA","286",2002
"860","MDMA "," 1","Puma","Kyle, TX","348",2002
"859","Caffeine "," 10","VL (Blue)","Albany, CA","302",2002
"859","MDA "," 1","VL (Blue)","Albany, CA","302",2002
"858","None Detected "," ---","Target (Black)","Minona, MN","191",2002
"857","MDE "," 4","Superman","Los Angeles, CA","288",2002
"857","MDMA "," 1","Superman","Los Angeles, CA","288",2002
"856","None Detected "," ---","Alien (Purple)","San Jose, CA","218",2002
"855","None Detected "," ---","Cartier","Los Angeles, CA","454",2002
"854","MDMA "," 1","Motorola (Pink)","Boston, MS","198",2002
"853","MDMA "," 1","S","New York, NY","183",2002
"852","MDMA "," 1","B","Atlanta, GA","144",2002
"851","MDMA "," 2","FBI","Portland, OR","295",2002
"851","Pseudo/Ephedrine "," 1","FBI","Portland, OR","295",2002
"850","5-MeO-DiPT "," 1","Spider","Sacramento, CA","204",2002
"848","MDMA "," 1","Casper","Nashville, TN","283",2002
"847","TFMPP "," 2","Plain Tablet","Los Angeles, CA","376",2002
"847","BZP "," 1","Plain Tablet","Los Angeles, CA","376",2002
"849","5-MeO-DiPT "," 1","Spider","Portland, OR","227",2002
"846","Caffeine "," 10","Mercedes (Tan)","Seattle, WA","297",2002
"846","MDA "," 1","Mercedes (Tan)","Seattle, WA","297",2002
"845","5-MeO-DiPT "," 1","Spider","Albuquerque, NM","214",2002
"844","MDMA "," trace","B","New York, NY","157",2002
"843","MDMA "," 1","MM","Los Angeles, CA","179",2002
"842","None Detected "," ---","BHI HOM","Los Angeles, CA","305",2002
"841","MDA "," 1","XXX","Chicago, IL","318",2002
"840","Caffeine "," 30","D","Milwawkee, WI","301",2002
"840","MDMA "," 1","D","Milwawkee, WI","301",2002
"839","Caffeine "," 30","Mercedes  * *","Paul, ID","295",2002
"839","MDA "," 1","Mercedes  * *","Paul, ID","295",2002
"838","None Detected "," ---","Spider (Blue)","Seattle, WA","294",2002
"837","Caffeine "," 30","VL","Salt Lake City, UT","304",2002
"837","MDA "," 1","VL","Salt Lake City, UT","304",2002
"836","MDMA "," 1","Superman","New York, NY","241",2002
"835","MDMA "," 1","Anchor","New York, NY","202",2002
"834","DXM "," 5","Chanel","Seattle, WA","314",2002
"834","Pseudo/Ephedrine "," 1","Chanel","Seattle, WA","314",2002
"833","MDMA "," 4","X","Bellingham, WA","178",2002
"833","MDA "," 1","X","Bellingham, WA","178",2002
